GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022
Id,Id2,Geography,"Total Asian categories tallied (400-499) & (100-299) or (300, A01-Z99) or (400-999):","Asian Indian (400-401) & (100-299) or (300, A01-Z99) or (400-999)","Bangladeshi (402) & (100-299) or (300, A01-Z99) or (400-999)","Bhutanese (403) & (100-299) or (300, A01-Z99) or (400-999)","Burmese (404) & (100-299) or (300, A01-Z99) or (400-999)","Cambodian (405-409) & (100-299) or (300, A01-Z99) or (400-999)","Chinese (except Taiwanese) (410-411) & (100-299) or (300, A01-Z99) or (400-999)","Filipino (420-421) & (100-299) or (300, A01-Z99) or (400-999)","Hmong (422) & (100-299) or (300, A01-Z99) or (400-999)","Indonesian (423-429) & (100-299) or (300, A01-Z99) or (400-999)","Japanese (430-439) & (100-299) or (300, A01-Z99) or (400-999)","Korean (440-441) & (100-299) or (300, A01-Z99) or (400-999)","Laotian (442) & (100-299) or (300, A01-Z99) or (400-999)","Malaysian (443) & (100-299) or (300, A01-Z99) or (400-999)","Nepalese (472) & (100-299) or (300, A01-Z99) or (400-999)","Pakistani (445) & (100-299) or (300, A01-Z99) or (400-999)","Sri Lankan (446) & (100-299) or (300, A01-Z99) or (400-999)","Taiwanese (412-419) & (100-299) or (300, A01-Z99) or (400-999)","Thai (447-449) & (100-299) or (300, A01-Z99) or (400-999)","Vietnamese (450-459) & (100-299) or (300, A01-Z99) or (400-999)","Other Asian, specified (444, 465, 470-471, 473-479) & (100-299) or (300, A01-Z99) or (400-999)","Other Asian, not specified (460-464, 466-469, 480-499) & (100-299) or (300, A01-Z99) or (400-999)"
0500000US01001,1001,"Autauga County, Alabama",736,79,4,0,0,2,96,156,0,0,85,172,12,0,2,8,0,1,26,63,0,30
0500000US01003,1003,"Baldwin County, Alabama",1868,296,6,0,3,44,334,411,1,22,141,150,9,7,1,16,0,15,122,190,10,90
0500000US01005,1005,"Barbour County, Alabama",126,38,3,0,0,0,14,8,0,1,5,16,0,0,0,0,0,3,4,26,0,8
0500000US01007,1007,"Bibb County, Alabama",54,11,0,0,0,0,5,15,0,0,1,3,3,0,0,4,0,0,2,2,0,8
0500000US01009,1009,"Blount County, Alabama",216,38,0,0,0,0,24,61,0,2,8,18,3,1,0,4,0,7,4,31,0,15
0500000US01011,1011,"Bullock County, Alabama",28,2,0,0,0,0,3,19,0,0,1,0,0,0,0,1,0,0,0,0,0,2
0500000US01013,1013,"Butler County, Alabama",203,51,0,0,0,0,12,16,0,0,0,112,0,0,0,0,0,0,0,2,0,10
0500000US01015,1015,"Calhoun County, Alabama",1252,231,3,0,1,2,127,206,0,12,102,292,1,2,5,36,0,2,46,106,10,68
0500000US01017,1017,"Chambers County, Alabama",213,46,0,0,0,1,18,36,0,1,11,75,1,0,0,5,0,0,6,3,0,10
0500000US01019,1019,"Cherokee County, Alabama",77,19,0,0,0,0,14,27,0,0,5,2,0,0,0,0,0,0,3,1,0,6
